DATAFLOW,LAST UPDATE,freq,waste,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,EL,2005,41.8,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,EL,2006,42.8,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,EL,2007,48,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,EL,2008,43.8,e
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,EL,2009,52.3,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,EL,2010,58.7,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,EL,2011,62.1,e
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,EL,2012,58.6,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,EL,2013,52.4,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,EL,2014,53.8,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,EL,2015,60.3,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,EL,2016,66.1,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,EL,2017,68.6,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,EL,2018,63.6,e
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,EL,2019,60.1,e
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,ES,1997,33.5,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,ES,1998,33.6,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,ES,1999,37.9,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,ES,2000,39.8,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,ES,2001,43.6,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,ES,2002,44.3,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,ES,2003,43.1,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,ES,2004,47.4,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,ES,2005,50.4,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,ES,2006,54,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,ES,2007,56.3,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,ES,2008,59.1,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,ES,2009,60.3,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,ES,2010,61.9,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,ES,2011,63.9,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,ES,2012,65.5,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,ES,2013,66.6,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,ES,2014,68.7,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,ES,2015,68.4,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,ES,2016,70.3,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,ES,2017,68.5,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,ES,2018,68.8,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,ES,2019,69.6,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,EU27_2020,2005,54.7,s
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,EU27_2020,2006,56.8,s
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,EU27_2020,2007,59.1,s
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,EU27_2020,2008,60.4,s
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,EU27_2020,2009,62.6,s
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,EU27_2020,2010,64,s
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,EU27_2020,2011,64.2,s
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,EU27_2020,2012,65.2,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,EU27_2020,2013,65.4,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,EU27_2020,2014,66.5,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,EU27_2020,2015,66.6,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,EU27_2020,2016,67.6,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,EU27_2020,2017,67.5,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,EU27_2020,2018,66.4,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,EU27_2020,2019,64.4,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,EU28,2005,54.6,s
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,EU28,2006,56.9,s
